Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa)
21.8,11,778.2
21.9,12,778.2
21.7,12,778.3
21.6,12,778.4
21.6,12,778.5
21.5,12,778.5
21.5,11,778.6
21.1,11,778.7
21.4,9,778.8
21.4,8,778.9
21.2,9,779
21,10,779.1
21,10,779.2
20.7,11,779.4
20.6,10,779.6
20.2,10,779.7
20.2,11,779.8
19.9,12,779.9
20,12,780.1
19.9,12,780.2
19.8,13,780.3
20.1,13,780.3
20,14,780.3
19.9,14,780.3
19.8,15,780.4
19.1,17,780.5
18.5,17,780.6
17.9,19,780.7
17.7,19,780.7
17.7,20,780.7
17.7,20,780.7
17.9,20,780.6
17.8,20,780.5
17,22,780.3
16.5,24,780.2
15.9,26,780.1
15.1,31,780
14.1,34,780
12.6,36,780
11.3,41,779.9
10.6,44,779.8
10.2,45,779.7
9.9,45,779.6
9.6,46,779.4
9.4,47,779.2
9.1,47,779.1
9.1,48,779.1
9.1,47,779
9,47,778.9
9.1,46,778.9
8.9,45,778.7
8.6,46,778.6
8.3,46,778.6
8.2,47,778.5
8,47,778.4
7.5,48,778.4
7.5,47,778.4
7.6,46,778.3
7.3,46,778.3
6.8,48,778.3
6.9,48,778.3
7.2,46,778.2
7.4,45,778.2
7.9,43,778.3
8.5,41,778.3
9,40,778.3
9.6,39,778.3
10.1,38,778.3
10.4,38,778.3
10.4,38,778.3
10.5,38,778.3
10.4,37,778.4
10.4,36,778.4
9.7,37,778.5
9.3,39,778.5
9.4,38,778.6
9.5,37,778.7
10.1,35,778.7
11.2,32,778.7
12.5,30,778.7
12.9,30,778.6
13,28,778.6
12.9,27,778.7
12.8,27,778.8
12.9,27,778.8
13.1,26,778.9
13.2,27,778.9
13.3,26,778.9
13.3,26,778.9
13.1,26,778.9
12.2,28,779
11.1,30,779
9.6,33,779
9.1,34,779.1
9.2,34,779.1
9.4,33,779.2
9.8,32,779.2
9.9,31,779.2
10,31,779.1
9.9,31,779.1
10,31,779.1
10,32,779.1
10.5,31,779.1
11,30,779
11.3,30,778.8
11.7,31,778.8
11.9,32,778.8
12.3,32,778.9
12.9,32,778.9
13.4,31,778.8
14.1,29,778.7
14.5,28,778.6
14.9,27,778.4
15.1,27,778.3
15.3,26,778.2
15.3,25,778.1
15.4,24,778
15.6,23,777.8
15.6,24,777.7
15.5,24,777.6
15.6,24,777.5
15.7,24,777.4
15.8,24,777.3
16.4,23,777.1
16.8,23,777
17.6,22,777
18.3,20,777
19.1,19,776.9
19.6,18,776.7
20,16,776.6
20.3,16,776.5
20.5,16,776.5
20.4,15,776.5
20.1,16,776.4
20.4,15,776.2
20,15,776.1
20.4,14,776.1
20.7,13,776
20.7,13,775.9
20.6,13,775.8
20.5,14,775.8
20.5,14,775.7
20.3,15,775.7
20.6,14,775.8
20.7,15,775.8
20.7,15,775.8
21,15,775.9
21.3,14,775.9
21.6,15,775.9
21.8,15,775.9
21.6,16,776.1
21.6,18,776.2
22.3,19,776.3
22.3,20,776.5
22.2,20,776.7
22.1,20,776.9
22.2,19,777.1
21.8,19,777.3
21.2,19,777.5
21.3,19,777.6
21.3,19,777.7
21.3,18,777.8
20.8,19,777.9
20.9,18,778
20.5,18,778.1
19.7,19,778.3
19.1,20,778.4
19.1,19,778.5
18.9,19,778.6
18.5,20,778.6
17.8,21,778.7
17.2,23,778.8
17.3,23,778.8
17.2,23,778.8
16.5,24,778.8
16,24,778.8
15.3,24,778.8
14.4,25,778.8
13.8,26,778.7
13.3,26,778.6
12.9,28,778.6
12.3,29,778.5
11.3,31,778.3
10.3,33,778.1
9.7,35,778.1
9.2,35,778
8.7,36,778
8.4,36,778
8.1,36,777.8
7.9,36,777.7
7.9,36,777.7
8.2,36,777.6
8.4,36,777.5
8.9,35,777.4
9.4,33,777.2
9.9,31,777.1
10.5,31,777.1
11.1,30,777
11.4,28,776.8
11.8,28,776.8
12.1,27,776.7
12.2,26,776.7
12.3,26,776.7
12.3,26,776.6
12.1,26,776.6
12.1,26,776.6
12,26,776.6
12.3,25,776.6
12.6,25,776.6
13,24,776.5
13.2,23,776.6
13.2,23,776.5
13.3,23,776.5
13.6,23,776.5
13.9,23,776.6
14,23,776.7
13.6,23,776.7
13.1,24,776.7
13.1,23,776.7
13.2,23,776.8
13.4,23,776.9
13.5,23,777
13.5,23,777.2
13.5,24,777.1
13.5,25,777.1
13.7,25,777.2
14,24,777.2
14.3,24,777.3
14.6,23,777.4
14.8,23,777.4
14.9,23,777.4
14.8,23,777.5
14.7,22,777.5
14.5,20,777.5
14.2,20,777.5
14.3,19,777.5
13.6,20,777.6
11.6,24,777.8
10.7,26,777.8
10.3,28,777.8
9.5,30,777.7
9.7,31,777.7
10.4,30,777.6
11,28,777.6
11.9,26,777.5
12.9,25,777.4
13.8,23,777.5
14,22,777.4
13.8,21,777.5
13.5,21,777.4
13.6,21,777.4
14.1,21,777.4
14.6,20,777.3
14.7,20,777.2
14.5,20,777.1
14.5,21,777.1
14.8,20,777
15,20,776.8
15.3,19,776.6
15.3,18,776.6
15.2,17,776.6
15.2,16,776.4
15.5,15,776.3
16,15,776.1
16.4,13,776.1
16.7,12,776.2
17,12,776.1
17.2,11,776.1
17.5,10,776.1
17.8,10,776.1
18.2,9,776
18.5,9,775.9
18.9,9,775.8
19.2,8,775.8
19.2,8,775.7
19.4,9,775.6
19.6,10,775.6
19.7,10,775.5
19.9,10,775.3
20.1,9,775.3
20.3,9,775.4
20.4,8,775.2
20.6,8,775.2
20.7,8,775.3
20.9,8,775.4
21.2,9,775.4
21.3,9,775.3
21.6,9,775.3
21.9,8,775.3
22.1,8,775.4
22.2,7,775.4
22.4,7,775.5
22.4,8,775.6
22.5,8,775.7
22.6,8,775.8
22.8,8,775.8
22.6,7,775.9
22.2,7,776
22.2,7,776.2
22.2,7,776.3
21.9,7,776.5
21.4,9,776.8
21.4,10,776.9
21.3,11,777.1
20.8,13,777.3
20.7,15,777.4
20.8,16,777.5
20.8,14,777.6
19.9,15,777.7
19.2,16,777.8
18.7,17,777.9
18.3,18,778
17.9,18,778.1
17.3,18,778.2
16.8,19,778.3
16.4,19,778.3
16.2,19,778.4
15.7,21,778.5
15.2,22,778.4
14.3,24,778.2
13.1,28,778.1
12.3,30,777.9
11.4,31,777.8
10.4,33,777.7
9.6,38,777.7
9.1,39,777.5
8.7,41,777.3
8.5,41,777.2
8.4,41,777
8.1,41,777
8,41,776.9
8,41,776.9
8.3,40,776.7
8.9,38,776.6
9.9,35,776.5
10.9,31,776.2
10,30,776.2
9.4,35,776.2
9.4,36,776.2
9.7,36,776.1
10.2,35,775.9
10.4,35,775.8
10.9,34,775.6
11.8,32,775.4
12.5,31,775.3
12.8,30,775.2
13,31,775.1
12.9,31,775
12.9,30,775
13,31,775
13,30,774.9
13,30,774.8
13,28,774.9
13,29,774.9
12.6,31,774.9
11.9,32,774.9
11.2,31,774.9
10.9,29,774.8
10.6,28,774.9
10.3,28,774.9
9.9,29,774.9
10.1,28,774.9
10.4,27,775
10.7,26,775
10.7,26,775.1
10.9,27,775.1
10.9,27,775.2
11.2,27,775.3
11.3,27,775.4
11.4,27,775.5
11.5,27,775.5
11.5,27,775.7
11.5,26,775.8
11.6,26,775.9
11.6,25,776
11.5,25,776.1
11.3,25,776.2
11,24,776.3
10.8,23,776.4
10.6,23,776.4
10.7,21,776.4
11.2,20,776.5
11.5,20,776.5
11.4,20,776.6
11.4,19,776.7
11.9,18,776.6
11.9,18,776.6
12,18,776.6
11.9,18,776.6
11.9,17,776.6
11.8,17,776.5
11.2,17,776.4
10.7,17,776.3
10.9,18,776.3
11,17,776.2
11.6,17,776.2
12.3,16,776
13,15,775.9
13.3,14,775.8
13.5,14,775.7
13.3,14,775.6
13.2,14,775.6
13.5,13,775.5
13.2,14,775.4
13.3,14,775.4
14.1,13,775.4
14.8,12,775.4
15.3,11,775.4
15.7,10,775.3
16,9,775.2
16.4,8,775.1
17,8,775
17.6,7,775
18.3,6,775
19.2,5,775
19.8,5,774.9
20.3,6,774.9
20.8,6,774.8
20.8,5,774.8
21.1,5,774.7
21,5,774.7
21.2,4,774.7
21.4,4,774.6
21.6,4,774.6
22,4,774.6
22.5,4,774.5
22.8,3,774.5
22.8,4,774.5
23,4,774.5
22.8,3,774.6
23.2,3,774.6
23.3,3,774.6
23.5,2,774.6
23.1,2,774.7
23.3,1,774.8
23.4,2,774.8
23.5,2,775
23.3,2,775
23,2,775.1
22.8,2,775.3
22.6,2,775.5
22.9,2,775.6
23.1,3,775.9
23,3,776
22.6,3,776.2
22,3,776.4
21.3,3,776.5
20.7,2,776.6
20.8,2,776.8
20.9,2,776.9
20.6,2,777.1
20.4,2,777.2
20.3,2,777.3
20.3,2,777.4
20.3,3,777.5
20,3,777.5
19.7,4,777.6
19.5,4,777.7
19.3,4,777.8
18.7,4,777.8
18.5,4,777.8
17.8,4,777.9
17.2,4,777.9
16.8,5,777.8
16.5,6,777.8
15.8,10,777.8
14.9,12,777.8
13.9,12,777.8
12.6,13,777.7
11.2,14,777.7
9.7,15,777.6
8.3,18,777.6
7.5,20,777.4
7,22,777.2
6.8,20,777.1
6,21,777
5.4,24,776.9
5.2,24,776.8
5.3,24,776.6
5.6,23,776.6
5.9,22,776.5
6.1,22,776.3
6.7,20,776.2
7.2,18,776.1
7.6,17,776.1
7.7,16,776
7.6,17,775.9
7.9,19,775.8
8.5,18,775.8
8.8,18,775.8
9,20,775.9
9.6,18,775.8
10,18,775.8
10.4,16,775.8
9.9,18,775.8
9.9,18,775.9
9.6,18,775.9
9.7,18,775.9
9.8,21,776
10.1,21,776.1
10.5,21,776.1
10.7,21,776.1
10.7,20,776.1
10.7,20,776.1
10.7,19,776.1
10.7,19,776.2
10.7,19,776.2
10.6,21,776.3
10.4,22,776.3
10.1,24,776.3
10.3,24,776.3
10.8,22,776.3
11,21,776.3
10.8,22,776.4
10.8,21,776.4
11.1,20,776.4
11.7,19,776.4
11.9,18,776.4
11.3,17,776.4
11,15,776.4
11,15,776.4
11.1,14,776.5
11.3,15,776.6
11.5,14,776.7
11.6,14,776.7
11.3,15,776.6
11.2,16,776.6
11.4,16,776.6
11.3,16,776.6
11,17,776.5
11.2,17,776.4
11.5,17,776.4
11.5,17,776.5
11.9,17,776.6
12.3,16,776.6
12.5,15,776.6
12.4,15,776.5
12.8,15,776.4
13.3,14,776.3
13.1,14,776.2
12.6,14,776.2
12.4,14,776.2
12.6,14,776.2
12.8,14,776.1
13,13,776.1
13,13,776.1
13.1,13,776
13.2,13,775.8
13.1,13,775.7
13.4,13,775.6
13.8,13,775.5
14.2,12,775.5
14.3,12,775.4
14.8,11,775.3
15.3,11,775.3
15.8,10,775.3
16.6,10,775.2
17.2,9,775.1
17.8,9,775.1
18.8,8,775.1
19.5,7,775.1
20.1,7,775
20,7,775
20.2,7,774.9
20.2,7,774.9
20.3,6,774.8
20.6,6,774.8
20.5,7,774.8
20.4,7,774.8
20.6,7,774.9
20.7,7,774.9
20.7,6,775
20.8,6,775
20.9,5,775
21,5,775
21.2,5,775
21,6,775.1
20.9,6,775.1
20.8,6,775.2
21.1,8,775.2
20.5,9,775.4
20.1,9,775.5
20.2,9,775.6
20.1,9,775.7
19.9,8,775.8
19.6,8,776
19.4,9,776.2
19,8,776.3
18.8,8,776.5
18.9,8,776.7
18.7,7,776.9
18.2,8,777.1
18.1,8,777.2
18.1,7,777.3
17.8,7,777.4
17.8,7,777.5
17.7,7,777.6
17.4,7,777.7
17,7,777.8
17,7,777.9
16.9,7,777.9
16.5,8,778
16.4,7,778
16,7,777.9
15.7,7,777.9
15.6,8,777.9
15.1,9,777.9
14.5,10,777.8
14.2,12,777.8
13.8,14,777.6
13.2,15,777.5
12.5,16,777.4
12,18,777.3
11.3,18,777.2
10.1,19,777.2
8.3,23,777.1
7.4,27,777.1
7.5,28,777
8.2,25,776.9
8.4,22,776.7
8.2,21,776.7
8.2,22,776.7
8.2,23,776.6
8.4,23,776.5
8.4,22,776.4
8.3,23,776.3
8.2,24,776.3
8.2,24,776.2
8,24,776.2
7.7,24,776.1
7.6,25,776
7.6,25,775.9
7.8,26,775.9
8.1,26,775.8
8.3,26,775.8
8.6,24,775.8
8.2,26,775.8
8.3,27,775.8
8.3,27,775.8
8.2,29,775.7
8.2,29,775.7
8.3,30,775.7
8.2,32,775.8
8.3,33,775.8
8.4,33,775.9
8,34,775.9
7.7,35,776
7.6,36,776
7.6,35,776
7.4,36,776
7.7,35,776
8,34,776.1
8.1,34,776.1
8.1,34,776.1
8,35,776.1
8.2,35,776.2
8.2,35,776.3
8.1,35,776.4
7.9,35,776.4
7.8,34,776.4
7.6,34,776.5
7.5,33,776.5
7.7,31,776.5
8.1,29,776.5
8.4,28,776.6
8.4,28,776.7
8.5,28,776.8
8.6,27,776.8
8.4,27,776.9
8.1,27,776.9
7.8,27,776.9
7.8,28,776.9
8,26,776.9
7.8,27,776.8
7.8,27,776.8
8.1,26,776.8
8.5,26,776.7
9.1,25,776.7
9.7,23,776.6
10.4,23,776.5
11.6,20,776.3
12.6,18,776.3
12.8,18,776.2
12.9,18,776.1
13.1,18,776
13.4,18,775.9
13.7,17,775.7
13.8,17,775.6
14,17,775.6
13.9,17,775.5
14,17,775.6
14.2,17,775.7
14.3,16,775.6
14.4,15,775.6
14.7,13,775.5
14.9,13,775.4
15.3,13,775.3
15.6,12,775.2
15.8,12,775.2
16.1,11,775.1
16.3,11,775
16.7,10,775
17.1,10,774.9
17.8,9,774.8
18.3,9,774.8
18.6,8,774.7
18.8,8,774.5
19.2,8,774.4
19.4,8,774.2
19.5,9,774.1
19.4,9,773.9
19.4,10,773.9
19.6,10,773.9
19.7,10,773.9
19.9,10,773.9
19.9,10,773.9
19.9,10,773.9
19.9,10,773.8
20,9,773.8
20.3,10,773.9
20.2,10,774
19.7,10,774
19.9,10,774
18.9,13,774.4
18.9,12,774.5
19,12,774.6
18.5,13,774.7
18,14,774.8
17.9,14,774.9
17.6,14,775
17.4,15,775.2
17.2,16,775.3
17,15,775.4
16.7,16,775.6
16.6,16,775.6
16.7,16,775.7
16.6,15,775.8
16.7,14,776
16.8,14,776.1
16.1,15,776.1
15.5,15,776.2
15.1,16,776.3
15.1,17,776.4
14.6,20,776.4
14.3,21,776.5
14.1,20,776.4
13.8,24,776.4
12.9,27,776.4
12.3,32,776.3
11.6,34,776.3
10.9,36,776.2
10.5,37,776.1
10.1,37,776
9.4,38,775.9
8.8,40,775.7
8.4,43,775.6
7.9,44,775.3
7.5,45,775.1
7.5,46,774.8
8,44,774.8
8.5,38,774.6
8.8,36,774.3
8.9,35,774.1
9.1,33,774
9,34,774
8.8,37,773.9
8.9,40,773.7
9.1,39,773.7
9.3,38,773.6
9.2,36,773.6
9,37,773.7
8.9,39,773.8
8.8,40,773.8
9,40,773.8
8.9,39,773.7
8.9,39,773.6
8.9,38,773.6
9.1,38,773.6
9.2,38,773.6
9.2,38,773.6
9.5,34,773.6
9.9,31,773.7
10.2,29,773.7
10.4,26,773.7
10.5,26,773.7
10.7,25,773.7
10.8,24,773.8
10.8,24,773.8
10.8,25,773.9
10.8,25,774
10.6,26,774.1
10.5,27,774.1
10.5,28,774.2
10.4,29,774.3
10.2,32,774.4
10.3,34,774.5
10.5,33,774.6
10.7,33,774.6
10.8,33,774.7
11,34,774.7
11.1,34,774.7
11.3,33,774.7
11.4,33,774.8
11.4,34,774.9
11.5,34,775
11.5,33,775
11.4,33,775.1
11.4,34,775.2
11.5,34,775.3
11.8,33,775.3
11.9,33,775.3
12.1,33,775.3
12.2,32,775.2
12.3,31,775.2
12.4,30,775.1
12.5,29,774.9
12.7,29,774.8
12.8,29,774.7
12.9,28,774.7
13,28,774.8
13.2,27,774.8
13.4,26,774.8
13.6,26,774.7
13.6,26,774.7
13.7,25,774.8
13.8,25,774.8
13.9,25,774.7
13.9,25,774.8
14.1,25,774.8
14.3,24,774.8
14.4,23,774.8
14.7,23,774.8
14.8,22,774.8
15,22,774.8
15.1,22,774.8
15.3,22,774.7
15.4,22,774.8
15.7,22,774.6
15.9,21,774.5
16.1,21,774.4
16.5,21,774.4
16.9,20,774.4
17.3,19,774.4
17.6,19,774.4
18,18,774.4
18.3,18,774.4
18.5,18,774.4
18.7,18,774.4
18.9,17,774.3
19,17,774.3
19.2,16,774.2
19,17,774.3
19.5,16,774.3
19.4,16,774.3
19.2,16,774.3
19.3,16,774.4
19.3,17,774.4
19.5,17,774.4
19.5,16,774.5
19.3,17,774.6
19.3,17,774.7
19.1,17,774.7
19.1,17,774.7
19.2,17,774.8
19.3,16,774.9
18.9,18,775
18.6,18,775.1
18.4,19,775.3
18,19,775.4
18.2,18,775.6
17.9,18,775.8
17.7,18,776
17.8,18,776.1
17.8,18,776.2
17.7,18,776.4
17.7,19,776.5
17.5,20,776.7
17.2,21,776.8
16.9,22,776.9
16.4,22,776.9
16.4,22,777
16.1,23,777.1
15.7,24,777.1
15.1,25,777.1
14.8,26,777.1
14.8,26,777.2
14.7,27,777.1
14.4,28,777
14.1,28,777
14.1,29,777.1
13.7,30,777
13.2,31,777
12.9,31,776.9
12.6,33,776.8
12,35,776.6
10.9,38,776.5
9.6,41,776.4
8.2,45,776.4
7.2,48,776.4
6.5,50,776.3
5.7,53,776.3
5.4,54,776.3
5,56,776.3
4.9,57,776.3
5,56,776.1
4.9,57,776
4.8,58,776
5,57,775.9
5,58,775.8
5.2,57,775.9
5.3,57,775.9
5.6,57,775.8
6.1,55,775.8
6.5,53,775.8
6.5,53,775.8
6.4,54,775.8
6.5,54,775.8
6.5,53,775.9
6.5,53,775.9
6.8,52,775.9
7.1,51,775.9
7.7,49,775.9
7.7,49,776
7.8,49,775.9
7.7,49,775.9
7.9,49,775.8
8.2,48,775.8
8.6,47,775.8
9.3,45,775.9
9.7,43,775.9
10.1,41,775.9
10.3,40,775.8
10.5,40,775.8
10.6,40,775.8
10.9,39,775.8
11.1,39,775.8
11,39,775.8
10.9,39,775.9
10.6,40,776
10.5,41,776
10.2,41,776
10,43,776.1
9.7,44,776.3
9.4,45,776.3
9.5,45,776.3
9.7,44,776.4
10.1,43,776.5
10.1,43,776.6
9.9,43,776.7
9.7,44,776.7
10.2,42,776.8
10.8,40,776.9
11.1,39,776.9
11.1,39,776.8
11,39,776.8
11.2,39,776.8
11.5,38,776.9
11.7,38,776.9
12.4,36,777
13.3,34,776.9
13.6,33,776.9
13.7,33,776.8
13.9,33,776.9
14,33,776.9
14.2,32,776.7
14.5,31,776.7
14.6,31,776.7
14.7,31,776.7
14.9,30,776.7
15.1,30,776.7
15.4,29,776.8
15.5,28,776.8
15.7,28,776.7
15.8,27,776.6
15.9,27,776.5
16,26,776.4
16.1,26,776.4
16.3,25,776.3
16.5,25,776.2
16.7,24,776.2
16.9,23,776.1
17.1,23,776.1
17.4,23,776.1
17.7,22,776
18,21,776
18.5,21,775.9
19.1,20,775.8
19.5,20,775.8
19.8,19,775.7
19.8,19,775.7
19.9,19,775.7
20.3,19,775.7
20.6,18,775.7
20.6,18,775.7
20.6,18,775.7
20.7,18,775.7
20.8,18,775.7
20.9,18,775.7
20.9,18,775.7
21.1,18,775.9
21.2,18,775.9
21.2,18,776
21.2,18,776
21.2,18,776.1
21.2,19,776.1
21.1,19,776.1
20.9,19,776.2
21.1,18,776.3
20.7,19,776.4
20.9,19,776.6
20.9,18,776.8
20.9,18,776.9
20.6,18,777.1
20.5,19,777.3
20.2,19,777.4
20.3,19,777.6
20.5,20,777.7
20.2,20,777.8
20.2,20,778
19.7,21,778.2
19.5,21,778.4
19.2,21,778.6
19.3,21,778.7
19.3,21,778.9
19.1,21,779
19,22,779.1
18.8,22,779.2
18.7,22,779.3
18.5,23,779.3
18.2,23,779.4
18.2,23,779.4
18.1,23,779.5
17.8,24,779.5
17.7,24,779.5
17.8,24,779.5
17,24,779.4
16.3,25,779.4
15.3,27,779.4
14.3,28,779.3
13.2,30,779.2
11.9,32,779.2
10.6,35,779.1
10,36,779.1
9.5,37,779
9.2,38,778.9
8.9,38,778.8
8.8,38,778.7
9,38,778.6
9.2,37,778.5
9,38,778.6
9.2,38,778.5
9.6,37,778.5
9.9,36,778.5
10.1,36,778.4
10.8,34,778.4
11.6,32,778.3
12.4,30,778.1
12.7,29,778.1
12.7,29,778
12.6,29,777.9
12.5,30,777.9
12.4,30,777.9
12.4,31,777.9
12.4,31,777.9
12.7,31,777.8
13.4,30,777.8
14.3,27,777.7
14.5,26,777.8
14.5,26,777.8
14.6,26,777.9
14.6,26,777.9
14.6,26,778
14.6,26,778
14.6,26,778
14.6,27,778.1
14.7,27,778.1
14.8,27,778.2
14.7,27,778.3
14.8,27,778.4
14.9,26,778.4
14.9,26,778.4
14.8,27,778.4
14.9,27,778.4
15,26,778.4
15.1,26,778.4
15.2,26,778.5
15.3,26,778.5
15.4,26,778.5
15.5,26,778.6
15.6,25,778.6
15.7,25,778.7
15.7,25,778.7
15.6,25,778.7
15.6,25,778.8
15.3,25,778.7
14.7,26,778.8
13.6,28,778.9
13.5,28,779
14,27,779
14.7,25,778.9
15.1,24,778.9
15.5,23,778.9
15.6,23,778.8
15.5,23,778.8
15.4,23,778.8
15.6,23,778.8
15.7,23,778.8
15.9,23,778.8
16.2,23,778.8
16.6,22,778.7
16.8,23,778.7
17,23,778.6
17.1,22,778.5
17.1,22,778.4
17.1,21,778.4
17.1,20,778.3
17,19,778.3
17.1,19,778.2
17.2,19,778.1
17.1,19,778.1
17.2,19,778
17.2,19,778
17.1,19,777.9
17.2,20,777.7
17.2,20,777.7
17.5,20,777.6
18,19,777.6
18.6,19,777.6
19.3,17,777.6
20.1,16,777.6
20.7,16,777.6
21,15,777.6
21.3,15,777.5
21.6,15,777.5
21.9,14,777.5
22,14,777.6
22,14,777.6
22.2,14,777.6
22.4,14,777.5
22.5,14,777.5
22.4,15,777.6
22.5,14,777.6
22.5,14,777.7
22.4,14,777.7
22.6,14,777.7
22.8,14,777.8
22.8,14,777.8
22.6,14,777.9
22.4,15,778
22.1,15,778.1
22,15,778.2
22.3,15,778.3
22.7,15,778.4
22.5,16,778.5
22.5,16,778.7
22.6,16,778.9
22.6,16,779
21.8,17,779.2
21.7,17,779.3
21.9,17,779.5
22,17,779.6
21.7,17,779.8
21.4,17,780
21.1,17,780.1
21.2,16,780.1
20.9,16,780.3
20.6,16,780.4
20.1,16,780.5
19.8,17,780.6
19.9,17,780.6
20.2,17,780.7
20.5,17,780.9
20.3,17,781
20.1,17,781
20,19,781.1
19.1,21,781.1
18.7,22,781.1
18.7,22,781
18.1,24,781.1
17.4,25,781
16.7,27,781
16.1,30,780.9
15.2,33,780.8
13.8,35,780.8
12.2,39,780.7
10.3,44,780.5
9.3,48,780.5
8.4,50,780.4
7.6,52,780.3
7.2,54,780.2
6.7,55,780.2
6.5,55,780.2
6.5,55,780.1
6.6,54,780.1
6.8,54,780
6.9,53,779.9
7.1,53,779.9
7.3,52,779.9
7.5,51,779.9
7.5,51,779.8
7.6,51,779.7
7.8,50,779.6
8.2,49,779.6
8.5,47,779.5
8.5,48,779.5
8.9,47,779.5
9.4,46,779.4
9.8,44,779.5
10.1,43,779.5
10.6,42,779.5
10.6,41,779.5
10.6,41,779.5
10.9,39,779.5
11.3,39,779.4
11.7,37,779.4
11.8,37,779.5
11.9,37,779.5
12,37,779.4
11.9,38,779.4
12,38,779.4
12.2,37,779.4
12.4,36,779.5
12.7,35,779.6
12.9,35,779.6
13.2,35,779.6
13.5,34,779.5
13.6,33,779.6
13.8,33,779.7
13.7,33,779.6
13.7,33,779.8
13.8,32,779.8
13.9,32,779.9
13.9,32,780
13.9,32,780
13.9,31,780
14,30,780
13.9,30,780
13.9,30,780
13.8,30,780.1
13.9,30,780.1
14,29,780.1
13.9,30,780.1
13.9,29,780
13.8,30,780
13.8,30,779.9
13.8,30,779.9
13.7,30,779.8
13.8,30,779.7
13.7,30,779.7
13.8,30,779.7
13.9,30,779.6
14.1,29,779.6
14.3,29,779.6
14.4,29,779.6
14.5,29,779.6
14.3,29,779.6
14.5,29,779.5
14.5,29,779.4
14.6,30,779.4
15.2,29,779.3
15.6,28,779.3
15.8,27,779.2
16,27,779.2
16.3,26,779.1
16.7,26,779.1
17.3,25,779
17.8,24,778.9
18.1,23,778.8
18.3,22,778.8
18.5,22,778.7
18.5,21,778.7
18.5,23,778.7
18.9,23,778.6
19.6,22,778.5
20.4,20,778.4
21.1,18,778.4
21,18,778.5
20.8,18,778.4
21.4,17,778.3
21.7,16,778.3
21.6,16,778.2
22.6,15,778.2
22.8,15,778.2
23,15,778.2
22.9,16,778.2
23,16,778.2
22.9,16,778.1
22.8,16,778.1
23.1,16,778.2
22.9,16,778.2
23,15,778.2
22.5,15,778.3
22.5,15,778.4
22.6,15,778.4
22.7,14,778.5
22.8,15,778.6
22.9,16,778.8
23.4,16,778.9
23,16,779
22.8,16,779.1
22.6,17,779.2
22.5,17,779.4
22.3,18,779.5
22.1,18,779.7
21.8,19,779.9
22,19,780
21.9,19,780.1
21.9,19,780.2
22.2,20,780.4
22,20,780.5
22.1,20,780.6
22,20,780.7
21.6,21,780.8
21,22,780.9
20.9,22,781
20.6,22,781
20.2,22,781
19.6,23,781.1
19.5,24,781.1
19.4,25,781.1
19.2,25,781
18.9,25,780.9
18.1,27,780.9
16.6,30,780.9
15.5,33,780.8
14.5,35,780.7
13.4,38,780.6
12,42,780.5
10.1,46,780.5
8.4,55,780.5
7.2,62,780.4
6.7,64,780.3
6.3,65,780.2
5.9,66,780.2
5.6,67,780
5.4,68,779.9
5.4,68,779.8
5.5,67,779.7
5.6,68,779.6
5.7,68,779.5
5.9,67,779.4
5.9,66,779.4
6,64,779.3
5.8,65,779.2
5.8,66,779.2
5.9,66,779.2
6,67,779.2
6.1,67,779.2
6.1,68,779.2
6.1,71,779.2
6.1,72,779.2
6.4,70,779.2
6.6,70,779.2
6.8,71,779.3
7.1,70,779.2
7.4,70,779.3
7.7,69,779.3
7.9,67,779.3
8.3,65,779.3
8.5,63,779.4
8.7,62,779.4
8.9,61,779.4
9,60,779.5
9,61,779.5
8.9,57,779.5
9.1,55,779.5
9.1,54,779.5
9.2,53,779.5
9.3,53,779.6
9.6,52,779.6
10.1,51,779.6
10.5,50,779.6
10.7,49,779.7
10.9,49,779.7
11.2,48,779.7
11.2,47,779.7
11,47,779.7
10.9,47,779.8
10.7,45,779.9
10.1,47,779.9
9.7,49,779.9
9.7,49,779.9
10.1,48,779.9
10.4,48,779.9
10.7,46,779.9
10.8,45,780
10.9,44,780
10.8,44,780
10.5,47,780
10.5,46,780
10.6,44,780
10.9,43,779.9
11.2,41,779.8
11.5,41,779.7
12,40,779.7
12.7,38,779.6
13.6,35,779.5
14.5,34,779.4
15.1,32,779.2
15.5,31,779.1
15.5,31,779
15.4,31,779
15.3,30,778.9
15.3,30,778.8
15.6,29,778.7
16.1,28,778.7
16.4,26,778.6
16.1,26,778.5
16.3,25,778.5
16.2,24,778.4
16.1,24,778.4
16.2,22,778.3
16.4,21,778.2
16.9,19,778.2
17.6,17,778.2
18.7,16,778.1
20,15,778.1
21.3,13,778
22,11,778
22.2,11,778
22.4,11,778
22.5,10,778
22.7,10,778
22.9,10,778
23.3,9,778
23.4,9,778
23.4,10,777.9
23.6,10,777.9
23.9,9,778
23.8,9,778
24,8,778.1
24,9,778.2
23.8,9,778.2
23.9,9,778.3
23.7,9,778.3
23.6,9,778.3
23.6,9,778.4
23.6,9,778.5
23.8,9,778.6
23.7,10,778.7
24.1,10,778.8
23.8,11,779
23.2,11,779.1
22.9,11,779.3
22.2,11,779.5
22.4,12,779.6
22.4,13,779.8
22.1,13,779.8
21.8,12,780.1
21.7,14,780.2
21.8,15,780.4
21.4,19,780.6
21.3,19,780.7
21.1,24,780.9
